Vendor,Camera,Sensor Dimensions Name,Focal Length,Resolution Width,Resolution Height,Sensor mm Width,Sensor mm Height,Sensor mm Diagonal,Sensor Inches Width,Sensor Inches Height,Sensor Inches Diagonal,Info
ARRI,ALEXA 65,Open Gate,,6560,3100,54.12,25.58,59.861,2.131,1.007,2.357,
ARRI,ALEXA 65,LF Open Gate,,4448,3096,36.7,25.54,44.712,1.44,1.01,1.759,
ARRI,ALEXA 65,16:9,,5120,2880,42.24,23.76,48.464,1.663,0.935,1.908,
ARRI,ALEXA 65,3:2,,4320,2880,35.64,23.76,42.834,1.403,0.935,1.686,
ARRI,ALEXA LF,LF Open Gate Mode OG 4.5K,,4448,3096,36.7,25.54,44.712,1.445,1.005,1.76,
ARRI,ALEXA LF,LF 2.39:1 Scope Mode 4.5K,,4448,1856,36.7,15.31,39.765,1.445,0.603,1.566,
ARRI,ALEXA LF,LF 16:9 Mode 4K UHD,,3840,2160,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA LF,LF 16:9 Mode 2K,,2048,1152,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA LF,LF 16:9 Mode HD,,1920,1080,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA Mini,4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA Mini,3.4K Open Gate,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA Mini,3.2K,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA Mini,2.8K 4:3,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA Mini,2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2560 x 2145,,2560,2145,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA Mini,2K,,2048,1152,23.66,13.3,27.142,0.932,0.524,1.069,
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2048 x 858,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA Mini,HD Anamorphic 16:9,,1920,2160,15.84,17.82,23.842,0.624,0.702,0.939,
ARRI,ALEXA Mini,HD Anamorphic,,1920,1080,15.84,17.82,23.842,0.624,0.702,0.939,
ARRI,ALEXA Mini,HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA Mini,S16 HD,,1920,1080,13.2,7.425,15.145,0.52,0.292,0.596,
ARRI,ALEXA SXT Studio,Open Gate Mode 4K Cine,,4096,2636,28.17,18.13,33.5,1.109,0.714,1.319,
ARRI,ALEXA SXT Studio,Open Gate Mode 3.4K,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA SXT Studio,6:5 Mode 4K Cine Anamorphic,,4096,1716,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Studio,6:5 Mode 2.6K,,2578,2160,21.38,17.82,27.833,0.842,0.702,1.096,
ARRI,ALEXA SXT Studio,6:5 Mode 2K Anamorphic,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Studio,4:3 Mode 2.8K,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA SXT Studio,16:9 Mode 4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3200 x 1800,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3168 x 1782,,3168,1782,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA SXT Studio,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Studio,16:9 Mode 2K,,2048,1152,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Studio,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
